Game ID,Accuracy Word2Vec,Accuracy Transformer,Accuracy Fine-Tuned Transformer
1,0.25,0.1875,0.3125
2,0.0,0.25,0.25
3,0.0,0.375,0.3125
4,0.0,0.5625,0.5625
5,0.0,0.5,0.4375
6,0.0,0.1875,0.125
7,0.25,0.4375,0.5
8,0.0,0.625,0.6875
9,0.0,0.4375,0.4375
10,0.25,0.5625,0.5625
11,0.0,0.625,0.6875
12,0.0,0.125,0.1875
13,0.25,0.6875,0.6875
14,0.0,0.0625,0.0625
15,0.0,0.4375,0.3125
16,0.0,0.125,0.0625
17,0.0,0.4375,0.25
18,0.0,0.3125,0.375
19,0.0,0.4375,0.5
20,0.0,0.0,0.0625
21,0.0,0.6875,0.75
22,0.0,0.0625,0.0
23,0.0,0.125,0.125
24,0.0,0.25,0.25
25,0.0,0.125,0.1875
26,0.0,0.5,0.5625
27,0.0,0.4375,0.375
28,0.0,0.375,0.375
29,0.0,0.25,0.1875
30,0.0,0.25,0.25
31,0.0,0.125,0.1875
32,0.0,0.125,0.1875
33,0.0,0.25,0.1875
